,keywords
tt2356777,"southern-gothic,police-investigation,police-detective,murder,anthology,louisiana,violence,infidelity,murder-investigation,mysterious-man,police-corruption,california,female-full-frontal-nudity,female-rear-nudity,female-nudity,deep-south,swamp,buddy,buddy-cop,clue,occupation-in-series-title,serial-murder,psychopath,detective,cop-drama,suspense-mystery,1990s,2010s,20th-century,21st-century,male-protagonist,male-male-relationship,police-procedural-crime,epic-drama,bloody-violence,seasonal-anthology-series,corrupt-cop,husband-wife-relationship,clothed-male-naked-female-scene,shaved-vagina,labia,vulva,vagina"
tt2442560,"gangster,birmingham-england,1920s,race-fixing,bookmaking,crime-boss,gypsy,gang-war,corruption,world-war-one-veteran,barmaid,english-criminal,british-criminal,brother-brother-relationship,protection-racket,male-protagonist,racehorse,nouveau-riche,prohibition,period-drama,british,crime-organization,gangster-crime,ensemble-cast,english-culture,long-running-tv,family-relationships,aunt-nephew-relationship,british-police,war-veteran,irish-man,reference-to-world-war-one,horse,communist,pub,cap,gritty,irish-republican-army,winston-churchill-character,oswald-mosley-character,italian-mafia,jewish-mafia,small-heath-england,urban-setting,murder,violence,jewish-man,horse-racing,betrayal,politician,boxing,husband-wife-relationship,car,russian-oligarch,charles-'darby'-sabini-character,interwar-period,crime-family,britain,england,british-historical-setting,20th-century,matriarch,attempted-rape,female-nudity,female-full-frontal-nudity,buttock-nudity,1910s"
tt2085059,"anthology,satire,dystopian-future,dystopia,psychological-thriller,dark-satire,social-satire,political-satire,news-satire,farce,pop-culture,anthology-series,technology,future,london-england,near-future,humanity,inhumanity,dehumanization,interpersonal-relationship,human-connection,privacy,alienation,disconnection,love,sexuality,work,unintended-consequences,color-in-title,techno-thriller,british-science-fiction,black-comedy,cult-tv,psychotronic-series,dark-comedy,web-series,two-word-title,cyber-thriller,dystopian-sci-fi,horror-host,uk-horror-host,uk-non-horror-host,non-horror-host,usa-non-horror-host,usa-horror-host,artificial-intelligence-sci-fi,social-sci-fi,philosophy,connection,female-rear-nudity,female-nudity,female-frontal-nudity"
tt0411008,"survival,destiny,flashback,south-pacific,time-travel,surrealism,island,alternate-reality,doctor,one-word-series-title,flash-forward,time-warp,one-word-title,cult-tv,family-relationships,frenchwoman,scientific-experiment,fate,father-son-relationship,drug-addict,brother-sister-relationship,beach,drugs,death,loss-of-father,hunter,criminal,desert-island,castaway,airplane-accident,tropical-island,male-protagonist,suspense-mystery,supernatural-drama,2000s,21st-century,epic-fantasy,stranded-on-an-island,psychological-drama,mystery-box,mythopoeia,airplane-crash,musician,asthma,soldier,physician,nuclear-bomb,sibling-rivalry,boeing-777,head-butt,shipper,wet-jeans,soaked-clothes,number-stations,student-mentor-relationship,parental-relationship,parent-child-relationship,mother-son-relationship,interracial-relationship,husband-wife-relationship,escaped-prisoner,cooperation,title-spoken-by-character"
tt3032476,"spin-off,lawyer,psychosomatic-illness,criminal-lawyer,drug-trade,criminal-underworld,organized-crime,mental-illness,financial-struggle,new-mexico,tragic-hero,dysfunctional-family,foreshadowing,prequel-television-series,legal-drama,crime-drama,shared-universe,character-flaw,lawyer-client-relationship,law-firm,sibling-rivalry,parallel-storylines,black-comedy,criminal,retired-cop,money,going-straight,class-differences,period-piece,boyfriend-girlfriend-relationship,employer-employee-relationship,anti-hero,forgone-conclusion,drug-cartel,drug-lord,bitterness,con-artist,multiple-storylines,electromagnetic-hypersensitivity,assumed-name,nail-salon,downward-spiral,public-defender,2000s,female-lawyer,strained-brother-brother-relationship,self-destructive-behavior,albuquerque-new-mexico,attorney,dark-comedy,character-name-in-title,sociopath,private-investigator,alter-ego,alias,betrayal,workplace-romance,ponytail,violence,blood,reference-to-cain-and-abel,cleaning-business,money-laundering-scheme,scene-before-opening-credits,desert-landscape,drug-enforcement-agency,man-woman-romance,retirement-home,mute-character,husband-wife-relationship,ex-husband-ex-wife-relationship,illegal-drug-lab,ambulance-chaser,omaha-nebraska,multiple-personalities,workplace-drama,cop-drama,psychological-drama,front-business,pro-bono-work,drug-crime,domestic-drama,dramedy-drama,epic-drama,tragedy-drama,period-drama,three-word-title"
tt0455275,"prison,escape,conspiracy,death-row,tattoo,political-conspiracy,male-protagonist,brother-brother-team,sibling-team,uncle-nephew-relationship,violence,visionary,engineer,cult-favorite,police-corruption,cellmate,deep-state,prison-drama,conspiracy-thriller,2000s,2010s,21st-century,heist,murder,government-conspiracy,escape-attempt,brotherly-love,aryan-brotherhood,self-sacrifice,race-against-time,prison-warden,prison-life,latino,framed-for-murder,female-politician,female-doctor,father-son-relationship,prison-guard,escape-from-prison,gang,brother-brother-relationship,cult-tv,president,vice-president,fish-out-of-water,mob-boss"
tt2306299,"sex-scene,king,hero,sword-and-shield,viking,brother-brother-relationship,homoerotic,legend,warrior,battle,mythological-character,valhalla,raid,saxon,monk,female-frontal-nudity,female-nudity,father-son-relationship,nudity,husband-wife-relationship,monastery,norse-mythology,infidelity,cheating-wife,seduction,voyeur,anglo-saxon,norse-deity,blood,male-protagonist,bigotry,violence,death,revenge,sword,axe,ambush,mgm,mgm-ua,period-drama,leather-jacket,leather-vest,leather-outfit,fur,fur-clothing,leather-armor,leather-pants,iceland,epic-history,steamy-romance,nordic-history,viking-age,medieval-times,8th-century,9th-century,horns-on-head,skinny-dipping,female-full-frontal-nudity,female-rear-nudity,female-topless-nudity"
tt2861424,"scientist,monster,adult-animation,grandfather-grandson-relationship,satire,multiverse,shock-humor,adult-humor,nihilism,dark-comedy,family-relationships,brother-sister-relationship,father-son-relationship,mother-daughter-relationship,husband-wife-relationship,sitcom,artificial-intelligence,garage,actor-voicing-multiple-characters,portal-gun,morty-smith-character,rick-sanchez-character,summer-smith-character,jerry-smith-character,beth-smith-character,mother-son-relationship,social-satire,2d-animation,gross-out-comedy,parody,political-satire,sardonic,painful-humor,scatological-humor,crude-humor,surrealism,alcoholic,mad-scientist,male-protagonist,adult-swim,absurd-comedy,spoof,black-comedy,absurdism,alien,brown-haired-teenage-boy,violence,red-haired-teenage-girl,long-haired-teenage-girl,multiple-versions-of-the-same-character,blonde-woman,brown-haired-teenage-girl,reference-to-back-to-the-future,brown-haired-man,actress-voicing-multiple-characters,evil-versus-evil,wisecrack-humor,outer-space,for-grown-ups-animation,crude-humor-comedy,surreal-comedy,interdimensional-sci-fi,space-sci-fi,2010s,21st-century,reference-to-sega-dreamcast,ponytail,mature-animation,breaking-the-fourth-wall,female-full-frontal-nudity,female-frontal-nudity,female-nudity,superhero-sci-fi,sitcom-comedy,satire-comedy,parody-comedy,buttock-nudity,nudity,character-names-as-title,forenames-as-title,three-word-title,f-word"
tt1190634,"gore,violence,black-comedy,blood,enhancement-drug,corporate-marketing,nudity,superhero-versus-superhero,ensemble-cast,superhero,revenge,vengeance,vigilante,super-speed,female-ceo,frenchman-abroad,frenchman-in-new-york,new-york-city,name-calling,nickname,supernatural-power,2020s,corporation,murder,superhero-team,boyfriend-girlfriend-relationship,superhero-action,new-zealand-actor-playing-american-character,sex-scene,male-full-frontal-nudity,based-on-comic-book,superheroine,gender-in-title,female-nudity,frenchman-in-america,superhero-team-up,two-word-title,2010s,gritty,french-man,conspiracy,reference-to-the-justice-league,reference-to-superman,reference-to-aquaman,celebrity,team,japanese-woman,superhero-sci-fi,villain,based-on-comic,power,fly,satire,group,superpower,hero,exploration,powerful,corruption,urban-fantasy,frenchman,ceo,supernatural-drama,supervillain,profanity,f-word,supes,satire-comedy,bloody-violence,female-full-frontal-nudity"
tt8111088,"bounty-hunter,star-wars,mandalorian,armor,intergalactic-bounty-hunter,space-western,outer-space,space-travel,space-opera,one-man-army,loner,psychotronic-series,tv-western,man-with-no-name,gunfight,hologram,spaghetti-western,shared-universe,disney-star-wars,gun,handgun,pistol,shooting,warrior,baby-yoda-character,spaghetti-western-imitation,gunslinger,code-of-honor,disney-plus,din-djarin-the-mandalorian-character,anti-hero,action-hero,tough-guy,honor,based-on-film,male-protagonist,weapon,weapons-fire,infant,baby,frog,crying-baby,spacecraft,starship,the-force,one-against-many,boba-fett-character,heroism,space-sci-fi,space-adventure,spaceship,space-opera-sci-fi,grogu-character,epic-sci-fi,web-series,postmodern,superhero,space,galaxy,laser,virtual-set,taciturnity,discipline,superhero-action,superhero-fantasy,superhero-sci-fi,two-word-title,hoverbike,hovercar,future"
tt0475784,"artificial-intelligence,android,robot,moral-dilemma,based-on-film,theme-park,consciousness,human-android-relationship,murder,future,human-versus-machine,scientist,replicant,old-west,remake,reference-to-tombstone-arizona,female-protagonist,ptsd-post-traumatic-stress-disorder,dystopian-sci-fi,one-word-title,amorality,malfunction,reference-to-arizona,love,san-francisco-california,artificial-intelligence-sci-fi,epic-sci-fi,robot-rebellion,philosophy,female-rear-nudity,female-nudity,female-full-frontal-nudity,sexual-tension,scalping,one-word-series-title,reference-to-julian-jaynes,robot-sci-fi,after-2050,21st-century,vacation-gone-wrong,suspense-mystery,epic-drama,bloody-violence,love-triangle,psychotronic-series,female-explicit-nudity,clothed-female-naked-female-scene"
tt5180504,"violence,magic,monster-hunter,warrior-queen,man-in-leather-clothes,evil-army,medieval-fantasy,based-on-novel,mutation,web-series,mage,baby-killed,female-protagonist,female-nudity,comic-relief,sword-fighter,bigotry,abuse,monster,dark-fantasy,elf,dragon,antihero,man-with-long-gray-hair,mutant,part-of-franchise,colonialism,vision,psychokinesis,little-girl,dark-magic,multiple-villains,people-slaughtered,magic-battle,teleporting,zealot,flashback,multiple-timelines,female-monster,body-transformation,faustian-bargain,cgi-monster,evil-female-mage,evil-sorceress,gore,leather-vest,psychotronic-series,based-on-video-game,female-full-frontal-nudity,pubic-hair,male-protagonist,bard,destiny,betrayal,slaughter,blood,love-interest,girl-on-the-run,little-person,conspiracy,total-war,female-mage,mage-school,unable-to-have-children,adoptive-daughter,curse,born-out-of-incest,tragic-monster,alternate-dimension,anti-heroine,multiple-protagonists,political-strife,prophecy,defying-destiny,performing-a-song,musician,composing-a-song,sword-fighting,sorceress,mind-control,ancient-law,destiny-revealed,intolerance,compassion,saving-a-life,life-debt,evil-mage,war-atrocity,refugee-camp,last-stand,pyrokinesis,opening-a-portal,assassin,refusing-to-accept-one's-destiny,hunchback-girl,regret,orphaned,strong-silent-type,one-man-army,one-against-many,action-hero,high-fantasy,fictional-kingdom,fantasy-world,leather-jacket,leather-pants,leather-outfit,leather-armor,magician,shapeshifter,one-person-army-action,gritty,politics,mentor-student-relationship,fictional-war,post-classical-history,supernatural-power,sword-and-sorcery-fantasy,beast,weapon,gritty-fantasy,sword-and-sorcery,school-of-magic,sword,horns-on-head,fate,female-tutor-female-student-relationship,djinn,female-frontal-nudity,female-rear-nudity,full-frontal-nudity,clothed-female-naked-female-scene,clothed-male-naked-female-scene"
tt1856010,"breaking-the-fourth-wall,political-drama,government-corruption,political-power,media-manipulation,new-media,manipulation,husband-wife-relationship,political-corruption,male-protagonist,female-nudity,female-rear-nudity,majority-house-whip,mass-media,journalist,u.s.-capitol-building,politician,machiavellianism,journalism,president-of-the-united-states,washington-d.c.,strategy,u.s.-congress,politics,power,u.s.-vice-president,deception,the-white-house-washington-d.c.,columbia-tristar,member,2010s,21st-century,epic-drama,web-series,remake,fourth-estate,direct-address"
tt6468322,"heist,robbery,spain,mint,professor,lgbt-plus,robber,royal-mint,madrid-spain,thailand,love-triangle,brazilian-abroad,strategy,money,bank,group,police,prison,gun,army,force,personal,web-series,f-word,thief,mission,masked,professional,heist-crime,crew,ak-47,2010s,2020s,21st-century,argentine-abroad,spanish-abroad,reference-to-rio-de-janeiro-brazil,spaniard-abroad,spaniard-in-panama,spaniard-in-denmark,spaniard-in-thailand,spaniard-in-portugal,b-word,criminal-mastermind,bank-heist,wanted-criminal,male-underwear,male-protagonist,female-protagonist,male-and-female-protagonists,hairy-chest,hairy-chested-male,gay,gay-character,gay-kiss,money-heist,fight,female-nudity,brief-female-rear-nudity,female-frontal-nudity"
tt0412142,"hospital,misanthropy,prescription-drug-abuse,cult-favorite,medical-drama,medical-doctor,maverick-doctor,british-actor-playing-american-character,doctor,patient,medicine,misanthrope,colleague,dark-comedy,camera-shot-from-inside-human-body,mysterious-illness,atheist,surgery,health-problem,female-doctor,deduction,black-doctor,human-anatomy,medical-treatment,medical-examination,medical-clinic,illness,sarcasm,black-comedy,brilliant-mind,character-name-as-series-title,surname-as-series-title,cult-tv,african-american,black-american,male-protagonist,2000s,2010s,21st-century,female-nudity,female-rear-nudity,brief-female-nudity,pain,latex-gloves,medical-mask,sex-talk,sexual-humor,humor,vital-signs,magnetic-resonance-imaging,medical-profession,sudden-illness,prescription,medical-report,death,argument,actress-shares-first-name-with-character,prescription-drug-addiction,friendship-between-men,friend,medical-care,intensive-care,intensive-care-unit,vicodin,investigation,health,employer-employee-relationship,elevator,brain,blood,blood-sample,labor-relations,nurse,pancreas,lupus,syringe,stethoscope,revelation,microscope,injection,infection,hypodermic-needle,friendship,eccentricity,doctor-patient-relationship,blood-test,analysis,x-ray,radiography,medication,jacket,anatomy,sickness,medical-test,irony,diagnosis,coworker-coworker-relationship,arrogance,science,cane,famous-opening-theme,reference-to-doctor-john-watson,acronym-in-series-title,woman-wears-eyeglasses,man-wears-eyeglasses,new-jersey,reference-to-sherlock-holmes,reference-to-vertigo,sexuality,title-ends-with-period,period-in-title,limping,doubt,computer-screen,blonde,best-friend,stomach,stairs,scalpel,pencil,lungs,loneliness,intestines,heart,female-boss,ball,x-rayed-skeleton,sliding-door,anger,pill"
tt10919420,"survival,game-of-death,death,game,blood,violence,prize,children's-game,dead-body,pakistani-abroad,challenge,murder,cruelty,prize-money,remote-island,mask,brutality,deadly-game,dying-young,animal-in-title,two-word-title,round,squid,quest,hack,escape,north-korean-in-south-korea,game-of-survival,graphic-violence,island,mysterious-person,gun,knife,2020s,21st-century,suspense-mystery,psychological-drama"
tt0460681,"brotherly-love,murder,ghost,demon-hunter,vampire,demon,monster,impersonating-an-fbi-agent,supernatural-hunter,chevrolet-impala,paranormal-investigation,classic-rock-music,occult-detective,brother-brother-team,brother-brother-relationship,dysfunctional-family,male-protagonist,protective-brother,friendship-between-men,death,blood,darkness,werewolf,supernatural-power,stabbing,sadness,possession,murder-investigation,dripping-blood,destiny,crying,cruel-joke,blood-stain,ghost-hunter,1970s,year-1983,desire,bondage,arizona,mother-son-relationship,husband-wife-relationship,sibling-team,siblings-living-together,siblings-raising-siblings,sibling-love,homelessness,homeless-protagonist,male-female-friendship,friendship-between-man-and-woman,platonic-relationship,urban-fantasy,psychotronic-series,badass,character-development,time-traveler,loyalty,determination,creature,dark-fantasy,supernatural-drama,supernatural-fantasy,1980s,1990s,2000s,2010s,20th-century,21st-century,scantily-clad-female,monster-horror,long-running-tv,celestial-fantasy,demonic,occult-hunter,female-nudity,werewolf-hunter,for-grown-ups-animation,one-word-title,bromance,friend,search,missing-father,nickname,name-calling,paranormal-phenomenon,year-1997,year-1978,year-1973,year-1958,time-travel,salt,banter,wisecrack-humor,forces-of-evil,good-versus-evil,kidnapping,gun,father-son-relationship,family-relationships,abusive-childhood,abandoned-by-father,child-abuse,mercilessness,cult-tv,missing-person,wrath,vigilantism,trauma,tragic-hero,symbol,spirit,shotgun,shooting,screaming,sadism,rescue,rage,practical-joke,person-on-fire,noise,nightmare-becomes-reality,mysterious-death,mutilation,witness-to-a-murder,memory,massacre,insanity,macabre,lightning,investigation,violence,injury,infidelity,friendship,flashlight,fire,field,falling-into-water,evil-man,evil-brother,electrocution,drowning,desperation,demonic-possession,death-of-brother,dead-woman,dead-man,dark-secret,dark-past,cruelty,scene-of-the-crime,corpse,car,body-part,bad-guy,anti-hero,anger,brotherhood,suspense,reference-to-tombstone-arizona,tombstone-arizona,gripping,male-time-traveler,water,splatter,scream,question,psycho,psychotic,psycho-killer,maniac,hit-by-a-car"
